,percent_best,percent_best,percent_best,percent_best,percent_best,percent_best,percent_best,avg_win,avg_win,avg_win,avg_win,avg_win,avg_win,avg_win,speed_ms,speed_ms,speed_ms,speed_ms,speed_ms,speed_ms,speed_ms
budget,6,12,18,24,50,100,200,6,12,18,24,50,100,200,6,12,18,24,50,100,200
optimizer,,,,,,,,,,,,,,,,,,,,,
ACT,32.432432432432435,54.054054054054056,70.27027027027027,75.67567567567568,82.88288288288288,87.38738738738738,94.5945945945946,9.527777777777779,9.833333333333334,12.692307692307692,13.297619047619047,13.73913043478261,13.8659793814433,13.714285714285714,24.658378378378377,47.059909909909905,72.33306306306305,90.99891891891893,194.25063063063058,376.4660360360361,753.1393693693694
DEHB,24.324324324324326,25.225225225225223,31.53153153153153,39.63963963963964,59.45945945945946,64.86486486486487,69.36936936936937,6.148148148148148,6.464285714285714,6.828571428571428,11.25,14.227272727272727,14.055555555555555,12.818181818181818,188.3594594594595,235.974954954955,291.90207207207203,337.93468468468467,550.2052252252254,927.3162162162163,1600.0657657657657
EZR,34.234234234234236,47.74774774774775,56.75675675675676,62.16216216216216,82.88288288288288,90.990990990991,94.5945945945946,9.342105263157896,8.377358490566039,9.841269841269842,10.695652173913043,13.271739130434783,14.158415841584159,13.761904761904763,17.245225225225223,21.227297297297294,23.248288288288293,25.683513513513514,40.318918918918925,72.22126126126126,150.65441441441442
KM++,36.03603603603604,43.24324324324324,54.95495495495496,59.45945945945946,78.37837837837837,87.38738738738738,91.8918918918919,9.525,8.083333333333334,9.688524590163935,9.924242424242424,13.873563218390805,14.175257731958762,14.058823529411764,6.439009009009008,26.175585585585587,55.35990990990991,93.25225225225223,376.085945945946,1296.507117117117,4041.504594594595
NSGAIII,29.72972972972973,44.14414414414414,53.153153153153156,62.16216216216216,71.17117117117117,81.98198198198197,89.1891891891892,8.151515151515152,8.979591836734693,11.542372881355933,13.159420289855072,12.962025316455696,14.791208791208792,14.363636363636363,146.89117117117118,316.7477477477479,492.8621621621622,699.976036036036,1599.5095495495498,3592.974324324324,7526.651441441442
RAND,35.13513513513514,43.24324324324324,48.64864864864865,57.65765765765766,75.67567567567568,85.58558558558559,91.8918918918919,10.743589743589743,7.9375,8.351851851851851,10.578125,13.880952380952381,14.16842105263158,14.401960784313726,0.09756756756756754,0.07405405405405407,0.09261261261261261,0.1034234234234234,0.26918918918918916,0.3648648648648649,0.8027027027027025
SMAC,27.927927927927925,38.73873873873874,49.549549549549546,63.96396396396396,80.18018018018019,86.48648648648648,90.990990990991,9.64516129032258,8.418604651162791,10.854545454545455,12.380281690140846,13.97752808988764,13.947916666666666,13.930693069306932,2909.5780180180177,3640.5890090090084,4820.296936936937,6347.363063063062,11405.8227027027,20210.53387387388,34191.74144144144
TPE,27.027027027027028,41.44144144144144,51.35135135135135,55.85585585585585,80.18018018018019,83.78378378378379,83.78378378378379,7.233333333333333,8.73913043478261,11.912280701754385,12.306451612903226,14.651685393258427,13.935483870967742,13.494623655913978,107.14405405405408,198.63099099099097,342.56909909909916,490.9278378378377,1161.8871171171172,2470.6275675675674,6134.042252252253
