run_id,best_config,best_value,runtime
0,"{'Culture': 0.4877249570994778, 'Criticality': 0.0171627645707617, 'CriticalityModifier': 0.0670801212255075, 'InitialKnown': 0.9218727055058686, 'Inter-Dependency': 0.8211763305484089, 'Dynamism': 0.0054240112841034, 'Size': 0.4620548801127091, 'Plan': 0.6693791817877597, 'TeamSize': 0.2361585241584839}",0.03819307832475796,0.06876230239868164
1,"{'Culture': 0.3530414456377473, 'Criticality': 0.6683820030615937, 'CriticalityModifier': 0.0239578331217354, 'InitialKnown': 0.8060125539102813, 'Inter-Dependency': 0.967885460257175, 'Dynamism': 0.2933224558277475, 'Size': 0.1354916392981077, 'Plan': 0.7170478604872669, 'TeamSize': 0.7303688023984064}",0.04300710263131796,0.07304573059082031
2,"{'Culture': 0.1671927537419185, 'Criticality': 0.0298100019321261, 'CriticalityModifier': 0.0265809021832776, 'InitialKnown': 0.3478971740731299, 'Inter-Dependency': 0.5126543675551949, 'Dynamism': 0.7852683026749623, 'Size': 0.1631935276956656, 'Plan': 0.2219843297644933, 'TeamSize': 0.0506644718269464}",0.013196853000559582,0.05254960060119629
3,"{'Culture': 0.1384016385907983, 'Criticality': 0.0350716584322879, 'CriticalityModifier': 0.0049202981507603, 'InitialKnown': 0.2863809726356477, 'Inter-Dependency': 0.2524604654815632, 'Dynamism': 0.0976669586100136, 'Size': 0.4882603358741945, 'Plan': 0.3932833662648989, 'TeamSize': 0.9292633418419856}",0.050570145657027325,0.07824182510375977
4,"{'Culture': 0.1709938651097151, 'Criticality': 0.1728534095055495, 'CriticalityModifier': 0.0317069385792295, 'InitialKnown': 0.7733727960799687, 'Inter-Dependency': 0.7118295096183446, 'Dynamism': 0.2172120524594066, 'Size': 0.0815483461832853, 'Plan': 0.1995752814570875, 'TeamSize': 0.1042693168058884}",0.050331376065284913,0.07282543182373047
5,"{'Culture': 0.1709938651097151, 'Criticality': 0.1728534095055495, 'CriticalityModifier': 0.0317069385792295, 'InitialKnown': 0.7733727960799687, 'Inter-Dependency': 0.7118295096183446, 'Dynamism': 0.2172120524594066, 'Size': 0.0815483461832853, 'Plan': 0.1995752814570875, 'TeamSize': 0.1042693168058884}",0.050331376065284913,0.08802986145019531
6,"{'Culture': 0.0156364763454781, 'Criticality': 0.4560242733657595, 'CriticalityModifier': 0.0140530478947189, 'InitialKnown': 0.7542722114134353, 'Inter-Dependency': 0.4586554720631414, 'Dynamism': 0.1591902209212333, 'Size': 0.0186249379961184, 'Plan': 0.1532287158424107, 'TeamSize': 0.1722835144668413}",0.057534047638541974,0.09402322769165039
7,"{'Culture': 0.4610223866976669, 'Criticality': 0.174465602360616, 'CriticalityModifier': 0.0761371398349489, 'InitialKnown': 0.6150569487690265, 'Inter-Dependency': 0.9535785106728872, 'Dynamism': 0.0098312086444177, 'Size': 0.477528754763057, 'Plan': 0.1519483077142892, 'TeamSize': 0.7355233598448563}",0.04326749489329275,0.06318187713623047
8,"{'Culture': 0.006822534483114, 'Criticality': 0.647235474000344, 'CriticalityModifier': 0.0168158439511312, 'InitialKnown': 0.7953513423905664, 'Inter-Dependency': 0.5503996502147686, 'Dynamism': 0.1185089001966754, 'Size': 0.1456490893988924, 'Plan': 0.9510543945072896, 'TeamSize': 0.5308971487924043}",0.05325891527652704,0.0754697322845459
9,"{'Culture': 0.0331803637091713, 'Criticality': 0.5201697232908926, 'CriticalityModifier': 0.2210379279080162, 'InitialKnown': 0.7554112328191964, 'Inter-Dependency': 0.1686276406875249, 'Dynamism': 0.000860117933402, 'Size': 0.0421670611187662, 'Plan': 0.4637590398926133, 'TeamSize': 0.1268428869022041}",0.03660795121075669,0.07440853118896484
