D,#R,#X,#Y,B4.mu,B4.lo,B4.sd,2B.mu,DEHB-6,DEHB-6_sd,DEHB-12,DEHB-12_sd,DEHB-18,DEHB-18_sd,DEHB-24,DEHB-24_sd,DEHB-50,DEHB-50_sd,DEHB-100,DEHB-100_sd,DEHB-200,DEHB-200_sd,NSGAIII-6,NSGAIII-6_sd,NSGAIII-12,NSGAIII-12_sd,NSGAIII-18,NSGAIII-18_sd,NSGAIII-24,NSGAIII-24_sd,NSGAIII-50,NSGAIII-50_sd,NSGAIII-100,NSGAIII-100_sd,NSGAIII-200,NSGAIII-200_sd,SMAC-6,SMAC-6_sd,SMAC-12,SMAC-12_sd,SMAC-18,SMAC-18_sd,SMAC-24,SMAC-24_sd,SMAC-50,SMAC-50_sd,SMAC-100,SMAC-100_sd,SMAC-200,SMAC-200_sd,TPE-6,TPE-6_sd,TPE-12,TPE-12_sd,TPE-18,TPE-18_sd,TPE-24,TPE-24_sd,TPE-50,TPE-50_sd,TPE-100,TPE-100_sd,TPE-200,TPE-200_sd,ACT-6,ACT-6_sd,ACT-12,ACT-12_sd,ACT-18,ACT-18_sd,ACT-24,ACT-24_sd,ACT-50,ACT-50_sd,ACT-100,ACT-100_sd,ACT-200,ACT-200_sd,EZR-6,EZR-6_sd,EZR-12,EZR-12_sd,EZR-18,EZR-18_sd,EZR-24,EZR-24_sd,EZR-50,EZR-50_sd,EZR-100,EZR-100_sd,EZR-200,EZR-200_sd,KM++-6,KM++-6_sd,RAND-6,RAND-6_sd,KM++-12,KM++-12_sd,RAND-12,RAND-12_sd,KM++-18,KM++-18_sd,RAND-18,RAND-18_sd,KM++-24,KM++-24_sd,RAND-24,RAND-24_sd,KM++-50,KM++-50_sd,RAND-50,RAND-50_sd,KM++-100,KM++-100_sd,RAND-100,RAND-100_sd,KM++-200,KM++-200_sd,RAND-200,RAND-200_sd,Before,Before_sd, File
91, 196, 3, 2, 57, 33, 10, 36, 44 b, 5, 42 b, 4, 42 b, 4, 40 b, 3, 37 a, 3, 34 a, 1, 33 a, 0, 46 c, 8, 42 b, 6, 40 b, 4, 39 a, 3, 37 a, 3, 35 a, 2, 34 a, 1, 44 b, 6, 41 b, 6, 40 b, 4, 38 a, 4, 35 a, 3, 33 a, 0, 33 a, 0, 46 c, 8, 42 b, 5, 39 a, 4, 38 a, 4, 36 a, 2, 34 a, 2, 34 a, 1, 45 b, 5, 43 b, 3, 43 b, 3, 43 b, 3, 40 b, 3, 35 a, 3, 33 a, 0, 45 b, 5, 44 b, 5, 42 b, 5, 41 b, 5, 38 a, 4, 34 a, 2, 33 a, 0, 44 b, 4, 44 b, 7, 42 b, 4, 41 b, 5, 41 b, 4, 40 b, 4, 40 b, 3, 39 a, 4, 38 a, 3, 37 a, 3, 36 a, 2, 35 a, 2, 33 a, 0, 34 a, 1, 57 d, 10, SS-G.csv
96, 196, 3, 1, 27, 0, 18, 1, 6 a, 9, 3 a, 6, 2 a, 5, 2 a, 5, 1 a, 1, 0 a, 0, 0 a, 0, 4 a, 6, 1 a, 2, 1 a, 1, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 9 b, 9, 2 a, 2, 1 a, 2, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 4 a, 6, 1 a, 2, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 10 b, 11, 1 a, 1, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 6 a, 9, 1 a, 2, 2 a, 5, 1 a, 3, 0 a, 0, 0 a, 0, 0 a, 0, 10 b, 10, 7 b, 9, 4 a, 6, 2 a, 2, 1 a, 2, 2 a, 4, 1 a, 2, 2 a, 4, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 27 c, 18, wc+wc-3d-c4-obj1.csv
96, 1152, 16, 1, 38, 0, 28, 2, 6 a, 6, 4 a, 7, 3 a, 5, 1 a, 1, 1 a, 1, 0 a, 1, 0 a, 0, 4 a, 3, 3 a, 2, 2 a, 2, 1 a, 1, 1 a, 1, 0 a, 0, 0 a, 0, 4 a, 2, 3 a, 2, 2 a, 2, 1 a, 1, 0 a, 1, 0 a, 0, 0 a, 0, 4 a, 3, 2 a, 2, 2 a, 2, 2 a, 2, 1 a, 1, 0 a, 0, 0 a, 0, 4 a, 4, 1 a, 1, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 4 a, 3, 3 a, 5, 1 a, 2, 1 a, 1, 0 a, 0, 0 a, 0, 0 a, 0, 5 a, 5, 5 a, 6, 3 a, 3, 2 a, 2, 2 a, 2, 2 a, 2, 1 a, 1, 1 a, 1, 1 a, 1, 1 a, 1, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 38 b, 28, X264_AllMeasurements.csv
84, 223, 10, 3, 62, 30, 12, 35, 48 c, 4, 45 b, 5, 44 b, 6, 42 b, 5, 38 a, 5, 37 a, 5, 35 a, 4, 47 c, 6, 41 b, 7, 39 a, 7, 38 a, 6, 35 a, 5, 34 a, 5, 33 a, 4, 46 c, 7, 42 b, 6, 42 b, 6, 41 b, 6, 38 a, 4, 36 a, 5, 34 a, 5, 47 c, 6, 41 b, 7, 39 a, 6, 39 a, 6, 36 a, 5, 33 a, 4, 33 a, 4, 48 c, 6, 42 b, 2, 41 b, 3, 40 b, 4, 33 a, 5, 30 a, 2, 30 a, 0, 48 c, 7, 43 b, 8, 40 b, 7, 42 b, 4, 37 a, 6, 32 a, 4, 30 a, 0, 47 c, 8, 48 c, 6, 45 b, 3, 46 b, 4, 41 b, 5, 41 b, 4, 41 b, 5, 42 b, 4, 37 a, 5, 38 a, 5, 35 a, 4, 37 a, 4, 31 a, 3, 33 a, 4, 62 d, 12, A2C_Acrobot.csv
95, 1023, 11, 2, 63, 16, 17, 18, 38 c, 17, 34 c, 16, 29 b, 13, 25 b, 11, 17 a, 1, 16 a, 1, 16 a, 0, 35 c, 18, 30 b, 14, 27 b, 13, 22 a, 8, 19 a, 2, 17 a, 2, 16 a, 0, 31 b, 13, 27 b, 12, 20 a, 6, 18 a, 5, 16 a, 1, 16 a, 0, 16 a, 0, 35 c, 18, 27 b, 13, 27 b, 12, 25 b, 11, 21 a, 7, 18 a, 4, 17 a, 1, 38 c, 14, 28 b, 13, 20 a, 8, 19 a, 7, 16 a, 1, 16 a, 0, 16 a, 0, 34 c, 17, 30 b, 12, 21 a, 8, 20 a, 4, 17 a, 1, 17 a, 1, 16 a, 1, 44 d, 17, 36 c, 15, 29 b, 11, 27 b, 12, 23 a, 9, 27 b, 10, 21 a, 7, 22 a, 7, 19 a, 4, 19 a, 5, 17 a, 2, 17 a, 1, 17 a, 1, 17 a, 1, 63 e, 17, SS-P.csv
98, 864, 18, 1, 28, 0, 38, 0, 1 a, 1, 1 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 1 a, 2, 1 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 2 a, 2, 0 a, 0, 1 a, 1, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 1 a, 2, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 1 a, 1, 0 a, 1, 0 a, 1, 0 a, 1, 0 a, 0, 0 a, 0, 0 a, 0, 2 a, 2, 1 a, 1, 0 a, 0, 0 a, 1, 0 a, 0, 0 a, 0, 0 a, 0, 2 a, 2, 2 a, 2, 1 a, 2, 1 a, 2, 1 a, 1, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 28 b, 38, HSQLDB.csv
95, 93, 22, 3, 54, 39, 5, 39, 52 d, 5, 54 e, 6, 44 b, 3, 61 g, 5, 52 d, 2, 56 f, 0, 59 f, 8, 45 b, 6, 43 b, 4, 44 b, 2, 39 a, 0, 52 d, 0, 39 a, 0, 40 a, 2, 52 d, 6, 44 b, 3, 43 b, 2, 57 f, 0, 53 e, 5, 39 a, 1, 39 a, 1, 57 f, 0, 43 b, 2, 50 d, 6, 43 b, 2, 42 b, 3, 43 b, 2, 43 b, 0, 54 e, 3, 50 d, 5, 47 c, 5, 44 b, 6, 40 a, 3, 39 a, 0, 39 a, 0, 53 d, 3, 52 d, 5, 47 c, 5, 45 b, 4, 41 a, 3, 39 a, 1, 39 a, 1, 47 c, 5, 47 c, 4, 44 b, 3, 45 b, 5, 41 a, 2, 44 b, 2, 41 a, 2, 44 b, 4, 39 a, 0, 41 a, 2, 39 a, 0, 40 a, 2, 39 a, 0, 39 a, 1, 54 e, 5, nasa93dem.csv
92, 1024, 10, 1, 53, 0, 25, 4, 22 b, 11, 20 b, 9, 11 a, 10, 9 a, 10, 2 a, 2, 1 a, 1, 0 a, 0, 26 b, 13, 17 b, 13, 10 a, 8, 8 a, 6, 4 a, 2, 3 a, 2, 1 a, 1, 25 b, 17, 14 b, 11, 11 a, 8, 5 a, 6, 2 a, 1, 1 a, 1, 0 a, 0, 26 b, 13, 14 b, 8, 12 a, 9, 12 a, 8, 6 a, 6, 3 a, 5, 2 a, 4, 14 b, 12, 5 a, 5, 3 a, 4, 2 a, 3, 0 a, 0, 0 a, 0, 0 a, 0, 18 b, 13, 10 a, 9, 4 a, 4, 4 a, 3, 3 a, 2, 2 a, 2, 1 a, 1, 19 b, 13, 25 b, 16, 14 b, 8, 13 b, 11, 8 a, 7, 10 a, 8, 8 a, 6, 9 a, 7, 3 a, 3, 3 a, 2, 2 a, 2, 2 a, 1, 1 a, 1, 2 a, 2, 53 c, 25, LLVM.csv
92, 196, 3, 2, 56, 35, 10, 36, 44 b, 4, 43 b, 5, 42 b, 5, 40 b, 3, 38 a, 2, 35 a, 1, 35 a, 0, 46 c, 7, 42 b, 5, 40 b, 4, 40 a, 3, 37 a, 2, 36 a, 2, 35 a, 1, 44 b, 6, 43 b, 5, 41 b, 4, 39 a, 4, 36 a, 1, 35 a, 0, 35 a, 0, 46 c, 7, 41 b, 5, 39 a, 4, 38 a, 3, 36 a, 2, 35 a, 1, 35 a, 0, 46 c, 5, 44 b, 4, 44 b, 3, 43 b, 3, 41 b, 3, 35 a, 1, 35 a, 0, 46 c, 4, 43 b, 5, 44 b, 5, 42 b, 4, 39 a, 4, 36 a, 2, 35 a, 0, 45 b, 3, 44 b, 6, 43 b, 4, 41 b, 4, 41 b, 4, 41 b, 4, 41 b, 3, 39 a, 4, 38 a, 3, 38 a, 3, 37 a, 2, 36 a, 1, 35 a, 0, 35 a, 1, 56 d, 10, SS-F.csv
82, 972, 11, 2, 39, 12, 13, 17, 30 c, 6, 28 b, 5, 27 b, 5, 26 b, 5, 21 a, 4, 18 a, 4, 17 a, 3, 27 b, 4, 26 b, 4, 24 b, 4, 23 b, 4, 20 a, 3, 18 a, 3, 15 a, 2, 27 b, 6, 26 b, 5, 22 b, 5, 21 a, 4, 18 a, 4, 16 a, 3, 14 a, 1, 27 b, 4, 25 b, 5, 23 b, 5, 23 b, 4, 20 a, 3, 17 a, 4, 17 a, 4, 24 b, 7, 20 a, 6, 19 a, 6, 17 a, 5, 14 a, 4, 13 a, 3, 13 a, 2, 25 b, 6, 20 a, 4, 20 a, 5, 17 a, 3, 16 a, 2, 13 a, 1, 12 a, 0, 25 b, 6, 27 b, 6, 22 b, 5, 22 b, 5, 20 a, 5, 20 a, 5, 18 a, 3, 19 a, 3, 16 a, 4, 17 a, 3, 14 a, 2, 15 a, 2, 13 a, 1, 14 a, 2, 39 d, 13, SS-O.csv
